Date,CPU Utilization,CPU Power
2024-09-25 22:12:58,0.25000000000000,3.22029715564997
2024-09-25 22:12:59,0.25000000000000,3.22029715564997
2024-09-25 22:13:00,0.25000000000000,3.24478974727425
2024-09-25 22:13:01,0.25000000000000,3.24478974727425
2024-09-25 22:13:02,0.24937655860349,3.21848634120525
2024-09-25 22:13:03,0.25062656641604,3.27164751598061
2024-09-25 22:13:04,0.25062656641604,3.24658917349949
2024-09-25 22:13:05,0.25000000000000,3.22029715564997
2024-09-25 22:13:06,0.25062656641604,3.27164751598061
2024-09-25 22:13:07,0.24937655860349,3.21848634120525
2024-09-25 22:13:08,0.25000000000000,3.24478974727425
2024-09-25 22:13:09,0.25250000000000,3.27723764474699
2024-09-25 22:13:10,0.24937655860349,3.21848634120525
2024-09-25 22:13:11,0.25062656641604,3.24658917349949
2024-09-25 22:13:12,0.25000000000000,3.24478974727425
2024-09-25 22:13:13,0.25000000000000,3.24478974727425
2024-09-25 22:13:14,0.25000000000000,3.24478974727425
2024-09-25 22:13:15,0.25000000000000,3.24478974727425
2024-09-25 22:13:16,0.25062656641604,3.24658917349949
2024-09-25 22:13:17,0.24937655860349,3.21848634120525
2024-09-25 22:13:18,0.25000000000000,3.24478974727425
2024-09-25 22:13:19,0.25000000000000,3.24478974727425
2024-09-25 22:13:20,0.25000000000000,3.24478974727425
2024-09-25 22:13:21,0.25000000000000,3.22029715564997
2024-09-25 22:13:22,0.25125628140704,3.29907636923678
2024-09-25 22:13:23,0.25062656641604,3.24658917349949
2024-09-25 22:13:24,0.24937655860349,3.21848634120525
2024-09-25 22:13:25,0.25000000000000,3.24478974727425
2024-09-25 22:13:26,0.24937655860349,3.21848634120525
2024-09-25 22:13:27,0.25062656641604,3.27164751598061
2024-09-25 22:13:28,0.25000000000000,3.22029715564997
2024-09-25 22:13:29,0.25000000000000,3.24478974727425
2024-09-25 22:13:30,0.25000000000000,3.24478974727425
2024-09-25 22:13:31,0.25000000000000,3.24478974727425
2024-09-25 22:13:32,0.25062656641604,3.24658917349949
2024-09-25 22:13:33,0.25000000000000,3.24478974727425
2024-09-25 22:13:34,0.25000000000000,3.24478974727425
2024-09-25 22:13:35,0.25000000000000,3.22029715564997
2024-09-25 22:13:36,0.25000000000000,3.24478974727425
2024-09-25 22:13:37,0.25000000000000,3.24478974727425
2024-09-25 22:13:38,0.25000000000000,3.24478974727425
2024-09-25 22:13:39,0.24937655860349,3.21848634120525
2024-09-25 22:13:40,0.25125628140704,3.27343551859061
2024-09-25 22:13:41,0.25125628140704,3.27343551859061
2024-09-25 22:13:42,0.24937655860349,3.21848634120525
2024-09-25 22:13:43,0.25000000000000,3.24478974727425
2024-09-25 22:13:44,0.25000000000000,3.24478974727425
2024-09-25 22:13:45,0.25062656641604,3.24658917349949
2024-09-25 22:13:46,0.25000000000000,3.24478974727425
2024-09-25 22:13:47,0.25000000000000,3.24478974727425
2024-09-25 22:13:48,0.25250000000000,3.27723764474699
2024-09-25 22:13:49,0.25000000000000,3.24478974727425
2024-09-25 22:13:50,0.25062656641604,3.27164751598061
2024-09-25 22:13:51,0.25062656641604,3.29731551798078
2024-09-25 22:13:52,0.24937655860349,3.21848634120525
2024-09-25 22:13:53,0.25000000000000,3.24478974727425
2024-09-25 22:13:54,0.25062656641604,3.24658917349949
2024-09-25 22:13:55,0.25062656641604,3.24658917349949
2024-09-25 22:13:56,0.25062656641604,3.24658917349949
2024-09-25 22:13:57,0.25062656641604,3.24658917349949
2024-09-25 22:13:58,0.25000000000000,3.24478974727425
2024-09-25 22:13:59,0.25000000000000,3.22029715564997
2024-09-25 22:14:00,0.25000000000000,3.24478974727425
2024-09-25 22:14:01,0.25000000000000,3.24478974727425
2024-09-25 22:14:02,0.25000000000000,3.24478974727425
2024-09-25 22:14:03,0.25062656641604,3.24658917349949
2024-09-25 22:14:04,0.25000000000000,3.24478974727425
2024-09-25 22:14:05,0.24937655860349,3.21848634120525
2024-09-25 22:14:06,0.25062656641604,3.27164751598061
2024-09-25 22:14:07,0.25000000000000,3.24478974727425
2024-09-25 22:14:08,0.25000000000000,3.22029715564997
2024-09-25 22:14:09,0.25000000000000,3.24478974727425
2024-09-25 22:14:10,0.25000000000000,3.24478974727425
2024-09-25 22:14:11,0.25000000000000,3.24478974727425
2024-09-25 22:14:12,0.25000000000000,3.24478974727425
2024-09-25 22:14:13,0.25000000000000,3.24478974727425
2024-09-25 22:14:14,0.25125628140704,3.27343551859061
2024-09-25 22:14:15,0.25000000000000,3.24478974727425
2024-09-25 22:14:16,0.25000000000000,3.24478974727425
2024-09-25 22:14:17,0.25000000000000,3.24478974727425
2024-09-25 22:14:18,0.24937655860349,3.21848634120525
2024-09-25 22:14:19,0.25062656641604,3.27164751598061
2024-09-25 22:14:20,0.25000000000000,3.22029715564997
2024-09-25 22:14:21,0.25000000000000,3.24478974727425
2024-09-25 22:14:22,0.25062656641604,3.27164751598061
2024-09-25 22:14:23,0.24937655860349,3.21848634120525
2024-09-25 22:14:24,0.25000000000000,3.24478974727425
2024-09-25 22:14:25,0.24937655860349,3.21848634120525
2024-09-25 22:14:26,0.25125628140704,3.27343551859061
2024-09-25 22:14:27,0.24937655860349,3.21848634120525
2024-09-25 22:14:28,0.25313283208020,3.30436399114041
2024-09-25 22:14:29,0.25000000000000,3.24478974727425
2024-09-25 22:14:30,0.25000000000000,3.24478974727425
2024-09-25 22:14:31,0.24937655860349,3.21848634120525
2024-09-25 22:14:32,0.25125628140704,3.27343551859061
